+--------------------+--------+
|                text|hashtags|
+--------------------+--------+
|Marii kita ngejui...|    Ibra|
|Marii kita ngejui...|    Ibra|
|Marii kita ngejui...|    Ibra|
|Marii kita ngejui...|    Ibra|
|Marii kita ngejui...|    Ibra|
|Marii kita ngejui...|    Ibra|
|Marii kita ngejui...|    Ibra|
|Marii kita ngejui...|    Ibra|
|Marii kita ngejui...|    Ibra|
|Marii kita ngejui...|    Ibra|
|Marii kita ngejui...|    Ibra|
|Marii kita ngejui...|    Ibra|
|RT @TheEaglesNest...|  Eagles|
|RT @TheEaglesNest...|  Eagles|
|RT @TheEaglesNest...|  Eagles|
|RT @TheEaglesNest...|  Eagles|
|RT @TheEaglesNest...|  Eagles|
|RT @TheEaglesNest...|  Eagles|
|RT @TheEaglesNest...|  Eagles|
|RT @TheEaglesNest...|  Eagles|
|RT @TheEaglesNest...|  Eagles|
|RT @TheEaglesNest...|  Eagles|
|RT @TheEaglesNest...|  Eagles|
|RT @TheEaglesNest...|  Eagles|
|RT @TheEaglesNest...|  Eagles|
|RT @TheEaglesNest...|  Eagles|
|RT @TheEaglesNest...|  Eagles|
|RT @TheEaglesNest...|  Eagles|
|#Football 2015 Pa...|   Larry|
|#Football 2015 Pa...|   Larry|
|#Football 2015 Pa...|   Larry|
|#Football 2015 Pa...|   Larry|
|#Football 2015 Pa...|   Larry|
|#Football 2015 Pa...|   Larry|
|#Football 2015 Pa...|   Larry|
|#Football 2015 Pa...|   Larry|
|#Football 2015 Pa...|   Larry|
|#Football 2015 Pa...|   Larry|
|#Football 2015 Pa...|   Larry|
|#Football 2015 Pa...|   Larry|
|#Football 2015 Pa...|   Larry|
|#Football 2015 Pa...|   Larry|
|#Football 2015 Pa...|   Larry|
|#Football 2015 Pa...|   Larry|
|#Football 2015 Pa...|   Larry|
|#Football 2015 Pa...|   Larry|
|#Football 2015 Pa...|   Larry|
|#Football 2015 Pa...|   Larry|
|#Football 2015 Pa...|   Larry|
|#Football 2015 Pa...|   Larry|
|#Football 2015 Pa...|   Larry|
|#Football 2015 Pa...|   Larry|
|#Football 2015 Pa...|   Larry|
|#Football 2015 Pa...|   Larry|
|#Football 2015 Pa...|   Larry|
|#Football 2015 Pa...|   Larry|
|#Football 2015 Pa...|   Larry|
|SOOYOUNG in Madri...|  Madrid|
|SOOYOUNG in Madri...|  Madrid|
|SOOYOUNG in Madri...|  Madrid|
|SOOYOUNG in Madri...|  Madrid|
|SOOYOUNG in Madri...|  Madrid|
|SOOYOUNG in Madri...|  Madrid|
|SOOYOUNG in Madri...|  Madrid|
|SOOYOUNG in Madri...|  Madrid|
|SOOYOUNG in Madri...|  Madrid|
|SOOYOUNG in Madri...|  Madrid|
|SOOYOUNG in Madri...|  Madrid|
|SOOYOUNG in Madri...|  Madrid|
|RT @EarthEnergyGe...|Sterling|
|RT @EarthEnergyGe...|Sterling|
|RT @EarthEnergyGe...|Sterling|
|RT @EarthEnergyGe...|Sterling|
|RT @EarthEnergyGe...|Sterling|
|RT @EarthEnergyGe...|Sterling|
|RT @EarthEnergyGe...|Sterling|
|RT @EarthEnergyGe...|Sterling|
|RT @EarthEnergyGe...|Sterling|
|RT @SNSDERPE: SOO...|  Madrid|
|RT @SNSDERPE: SOO...|  Madrid|
|RT @SNSDERPE: SOO...|  Madrid|
|RT @SNSDERPE: SOO...|  Madrid|
|RT @SNSDERPE: SOO...|  Madrid|
|RT @SNSDERPE: SOO...|  Madrid|
|RT @SNSDERPE: SOO...|  Madrid|
|RT @SNSDERPE: SOO...|  Madrid|
|RT @SNSDERPE: SOO...|  Madrid|
|RT @SNSDERPE: SOO...|  Madrid|
|RT @SNSDERPE: SOO...|  Madrid|
|RT @SNSDERPE: SOO...|  Madrid|
|RT @EarthEnergyGe...|Sterling|
|RT @EarthEnergyGe...|Sterling|
|RT @EarthEnergyGe...|Sterling|
|RT @EarthEnergyGe...|Sterling|
|RT @EarthEnergyGe...|Sterling|
|RT @EarthEnergyGe...|Sterling|
|RT @EarthEnergyGe...|Sterling|
|RT @EarthEnergyGe...|Sterling|
|RT @EarthEnergyGe...|Sterling|
|RT @EarthEnergyGe...|Sterling|
+--------------------+--------+
